AudioTrackID,AudioType,AudioLanguage,AudioLocation,AudioHash,VideoTrackID,VideoType,VideoLanguage,VideoLocation,VideoHash,AspectRatio,WidthPixels,HeightPixels,Progressive,ProgressiveScanOrder,SubtitleTrackID,SubtitleType,SubtitleLanguage,SubtitleLocation,SubtitleHash,SubtitleFrameRate,SubtitleFrameRateMultiplier,SubtitleFrameRateTimeCode,ImageID,ImagePurpose,ImageLanguage,ImageLocation,PresentationID,PresentationIDTrackNum,PresentationIDVid,PresentationIDAud,PresentationIDSub,PictureGroupID,PictureGroupImageID,ExperienceID,ExperienceType,ExperienceSubType,ExperienceChildID,ExperienceChildRelationship,ALID,ALIDExperienceID
,,,,,md:vidtrackid:org:wiflix:The_Lost_Cafe:feature.video,HD,en-US,The_Lost_Cafe_HD_En_stereo.mp4,,16:9,1280,720,TRUE,,,,,,,,,,,,,,md:presentationid:org:wiflix:The_Lost_Cafe:feature.presentation,0,md:vidtrackid:org:wiflix:The_Lost_Cafe:feature.video,,,,,md:experienceid:org:wiflix:The_Lost_Cafe:experience,Main,Feature,,,md:ALID:org:wiflix:The_Lost_Cafe,md:experienceid:org:wiflix:The_Lost_Cafe:experience
,,,,,md:vidtrackid:org:wiflix:Kingmakers_S01E01:episode.video,HD,en-US,Kingmakers_S01E01_HD_En_stereo.mp4,,16:9,1280,720,TRUE,,,,,,,,,,,,,,md:presentationid:org:wiflix:Kingmakers_S01E01:episode.presentation,0,md:vidtrackid:org:wiflix:Kingmakers_S01E01:episode.video,,,,,md:experienceid:org:wiflix:Kingmakers_S01E01:experience,Main,Episode,,,md:ALID:org:wiflix:Kingmakers_S01E01,md:experienceid:org:wiflix:Kingmakers_S01E01:experience
,,,,,md:vidtrackid:org:wiflix:Kingmakers_S01E02:episode.video,HD,en-US,Kingmakers_S01E02_HD_En_stereo.mp4,,16:9,1280,720,TRUE,,,,,,,,,,,,,,md:presentationid:org:wiflix:Kingmakers_S01E02:episode.presentation,0,md:vidtrackid:org:wiflix:Kingmakers_S01E02:episode.video,,,,,md:experienceid:org:wiflix:Kingmakers_S01E02:experience,Main,Episode,,,md:ALID:org:wiflix:Kingmakers_S01E02,md:experienceid:org:wiflix:Kingmakers_S01E02:experience
